trial,epsilon_m,eps_total_idx,eps_total,T,hv_NSGAII,hv_MOMA,hv_AMOMA,f1_min,f1_max,f2_min,f2_max,f3_min,f3_max
13,0.4793452844894778,9,4.32,7,0.20957577927526083,0.5838967714502217,0.8891276657990366,0.3505554835955519,0.360924361348847,0.000947685893624,0.4699179508333783,3.355416991426344,4.320000000000001
13,0.4793452844894778,10,4.8,7,0.21928401553537313,0.5108211777372008,0.9407661173807499,0.3505765951884835,0.3662115919211046,0.0006843507498549,0.6881981354173744,3.355416991426344,4.800000000000001
14,0.4793452844894778,3,1.44,3,0.6796902120031122,0.7657664861753658,0.9589525657313781,0.3513941498207427,0.3603287037077654,0.0030401528054098,0.5185877890970353,1.4380358534684334,1.44
14,0.4793452844894778,4,1.92,4,0.8301944535337014,0.8372228536885311,0.8809590168025143,0.3513372169329877,0.3611731100530657,0.0039204435958809,0.063946109642244,1.917381137957911,1.92
14,0.4793452844894778,5,2.4,5,0.6679985667864958,0.9305309555048005,0.960801288961503,0.3514838608864086,0.3655044894709749,0.0044089132190117,0.1443651643302522,2.3967264224473888,2.4
14,0.4793452844894778,6,2.88,6,0.7699927023031121,0.7708726821242646,0.8562156843877418,0.3517581968707554,0.3641644728793504,0.0035381711497103,0.043673447487862,2.8760717069368664,2.880000000000001
14,0.4793452844894778,7,3.36,7,0.7295064074200052,0.8284399638268378,0.9124289426262242,0.3512494571722929,0.3624801329371684,0.0047305329683818,0.1008492421491568,3.355416991426344,3.3600000000000008
14,0.4793452844894778,8,3.84,7,0.2738124910572287,0.7686042152305668,0.8458133585255656,0.3507979245976182,0.3600098841525732,0.0018582755501753,0.1008492421491568,3.355416991426344,3.8400000000000007
14,0.4793452844894778,9,4.32,7,0.20968337509548404,0.6340711710972263,0.7610585547000546,0.3506308639889633,0.3564983289485767,0.0011218438807713,0.0487600761692484,3.355416991426344,4.320000000000001
14,0.4793452844894778,10,4.8,7,0.2333928882839361,0.45793621720671956,0.9240400219540332,0.3505824756823377,0.3637105559447876,0.0005111095809897,0.6866645547828562,3.355416991426344,4.800000000000001
15,0.4793452844894778,3,1.44,3,0.6605987725459158,0.6875711986972703,0.8955974940199364,0.3514019614277739,0.3580058681669236,0.0030637497989269,0.5534772719434387,1.4380358534684334,1.4400000000000002
15,0.4793452844894778,4,1.92,4,0.9509950931368012,0.9520055860883453,0.9637079177560612,0.3513372197419854,0.4848618374081753,0.0039698450776741,0.1326934192080492,1.917381137957911,1.92
15,0.4793452844894778,5,2.4,5,0.8517129332286191,0.9305212730403769,0.9706727853137914,0.3514838933380028,0.365509450031017,0.0044090594741364,0.1443651643302522,2.3967264224473888,2.4000000000000004
15,0.4793452844894778,6,2.88,6,0.7027810823755275,0.7314012642501352,0.9098693109888124,0.351710615184549,0.3609722771801174,0.0035377290325406,0.043673447487862,2.8760717069368664,2.8800000000000003
15,0.4793452844894778,7,3.36,7,0.633056733573419,0.7540085264103513,0.8975539978104334,0.3512491973346269,0.3580369242852046,0.0047323279846059,0.1008492421491568,3.355416991426344,3.3600000000000008
15,0.4793452844894778,8,3.84,7,0.2919953335037481,0.818662072530593,0.920190917181037,0.3508412056252119,0.3649362575623824,0.0022498075531571,0.6751661643597489,3.355416991426344,3.84
15,0.4793452844894778,9,4.32,7,0.2934104611764297,0.7089800004980272,0.7844902329267074,0.3505619431753243,0.361992239593211,0.0002995519362066,0.6643638148796192,3.381955754397092,4.32
15,0.4793452844894778,10,4.8,7,0.20335656332251562,0.5685170100033337,0.888078388760351,0.3505946069192191,1.2948870796379,0.0002309186903957,0.0558104345829178,3.381019364240031,4.800000000000001
16,0.4793452844894778,3,1.44,3,0.8228607511796137,0.8429732886461595,0.9709201923279057,0.3514019614688691,0.3648874591900847,0.0030401528054098,0.5185877890970353,1.4380358534684334,1.44
16,0.4793452844894778,4,1.92,4,0.4618604297542493,0.6260135401149945,0.8092538149708979,0.3513979617577849,0.3611731100530657,0.0048269199845479,0.0275668781173629,1.917381137957911,1.92
16,0.4793452844894778,5,2.4,5,0.775116577764121,0.8149893885289765,0.8569177491237053,0.3514838608862652,0.3655092443541297,0.0044089132240072,0.0551542984764117,2.3967264224473888,2.4
